TERMINAL/STREAM,TYPE,PLATFORM,CAPACITY (Bbls),OPERATOR,CONTRACT
QUA IBOE,Onshore,Land,8520000,MOBIL,JV
FORCADOS,Onshore,Land,6289832,SHELL,JV
BONNY,Onshore,Land,5700000,SHELL,JV
BRASS,Onshore,Land,3271000,AGIP,JV
ESCRAVOS (Oil Terminal),Onshore,Land,2600000,CHEVRON,JV
ERHA,Offshore,FPSO,2355335,ESSO (MOBIL),PSC
EGINA,Offshore,FPSO,2300000,TUPNI,PSC
PENNINGTON,Offshore,FPSO,2224132,CHEVRON,JV
UTAPATE,Offshore,FPSO,2200000,NEPL,SR
YOHO,Offshore,FPSO,2192653,MOBIL,JV
AGBAMI,Offshore,FPSO,2150000,CHEVRON,SR
BONGA,Offshore,FPSO,2000000,SNEPCO,PSC
NEMBE,Offshore,FSO,2000000,AITEO,JV
UGO OCHA (JONES CREEK),Offshore,FSO,2000000,NECONDE,JV
USAN,Offshore,FPSO,2000000,MOBIL,PSC
EBOK,Offshore,FSO,2000000,ORIENTAL,SR
AKPO,Offshore,FPSO,2000000,TUPNI,SR
UKPOKITI,Offshore,FPSO,1970258,EXPRESS/SHEBA,SR
ODUDU (AMENAM BLEND),Offshore,FSO,1814044,TEPNG,JV
TULJA - OKWUIBOME,Offshore,FSO,1762445,STERLING,PSC
OKWORI,Offshore,FPSO,1700000,NNPC/APL,SR
SEA EAGLE (EA),Offshore,FPSO,1479858,SNEPCO,JV
OYO,Offshore,FPSO,1109580,ALLIED/AGIP,PSC
ANTAN,Offshore,FPSO,1036750,NNPC/APL,SR
OTAKPIPO (Ex Ima Terminal),Onshore,Land,1000000,GREEN ENERGY,JV
IMA,Offshore,FSO,994989,AMNI,SR
OKONO,Offshore,FPSO,949000,NPDC,SR
ABO,Offshore,FPSO,933130,NAE,PSC
ANYALA MADU (CJ Blend),Offshore,FPSO,780000,FIRST,JV
AJE,Offshore,FPSO,750000,YINKA,SR
OKORO (Ex Ima Terminal),Offshore,FPSO,360000,AMNI,SR
AJAPA,Offshore,FSO,80000,BRITTANIA-U,SR
